GroupID,orderID,transactionpurchasedate,ordervalue,
73623,ITFC-000001596,5/18/18 12:22, £	60.50 ,
73623,5619616874787,11/24/23 10:05, £	102.00 ,
73623,11849953542524,5/23/25 20:15, £	115.00 ,
74803,5700613931299,1/13/24 11:41, £	16.00 ,
74803,5769710403875,3/11/24 15:46, £	39.60 ,
74803,9688871895420,9/29/24 19:17, £	132.00 ,
75963,5774543421731,3/15/24 19:10, £	49.50 ,
77737,ITFC-000009956,1/13/19 15:38, £	16.00 ,
77737,ITFC-000131017,11/30/22 19:06, £	24.00 ,
77737,ITFC-000073350,8/11/21 13:40, £	33.00 ,
77737,11662310310268,3/12/25 8:57, £	38.15 ,
77737,11949754810748,6/24/25 19:08, £	44.00 ,
77737,5589009334563,10/31/23 10:50, £	44.00 ,
77737,11343453684092,12/10/24 8:55, £	105.00 ,
79815,6137756516643,8/11/24 18:14, £	64.00 ,
83806,ITFC-000098623,6/16/22 11:27, £	54.00 ,
84706,5777865474339,3/18/24 19:49, £	32.40 ,
84706,11523134652796,1/18/25 16:44, £	42.00 ,
84706,11269290721660,11/20/24 20:54, £	49.00 ,
93793,5632599327011,12/2/23 15:25, £	36.00 ,
93793,5346733392163,7/5/23 13:53, £	58.50 ,
93793,6010486980899,7/7/24 9:02, £	64.00 ,
93793,11346700075388,12/11/24 9:44, £	79.00 ,
94221,5666666316067,12/27/23 14:55, £	4.00 ,
94221,ITFC-000089979,1/11/22 14:14, £	8.00 ,
94221,ITFC-000056201,4/23/21 16:33, £	9.00 ,
94221,ITFC-000010887,12/6/18 16:54, £	20.50 ,
94221,ITFC-000084738,12/1/21 23:06, £	21.00 ,
94221,5606278365475,11/12/23 17:28, £	23.50 ,
94221,11805329228156,5/6/25 21:06, £	30.00 ,
94221,ITFC-000034981,5/30/20 12:54, £	31.00 ,
94221,ITFC-000146533,5/8/23 9:23, £	33.00 ,
94221,ITFC-000046352,10/27/20 21:29, £	37.00 ,
94221,5865991504163,5/31/24 18:24, £	39.00 ,
94221,ITFC-000026790,12/9/19 10:32, £	42.00 ,
94221,5763356164387,3/6/24 7:44, £	44.00 ,
94221,ITFC-000016500,6/3/19 9:05, £	54.50 ,
94221,5344432783651,7/3/23 8:07, £	55.00 ,
94221,ITFC-000036893,6/30/20 16:03, £	55.50 ,
94221,ITFC-000101927,6/22/22 15:07, £	57.50 ,
94221,12009764847996,7/5/25 9:50, £	59.00 ,
94221,ITFC-000043166,9/23/20 11:52, £	64.00 ,
94221,5371679637795,8/1/23 18:21, £	69.00 ,
94221,5837614022947,5/11/24 13:19, £	99.00 ,
94221,ITFC-000064982,6/3/21 17:11, £	103.00 ,
94221,ITFC-000115915,9/1/22 19:38, £	105.00 ,
94221,5371470676259,8/1/23 16:28, £	111.00 ,
94221,6011665318179,7/8/24 9:28, £	128.00 ,
94244,6009540804899,7/6/24 15:20, £	143.00 ,
98060,ITFC-000099558,6/16/22 14:42, £	19.00 ,
99311,5852487188771,5/22/24 18:28, £	41.00 ,
99311,11404798820732,12/29/24 15:06, £	44.00 ,
99311,11490480685436,1/9/25 8:16, £	79.00 ,
101340,ITFC-000078312,10/20/21 6:48, £	20.00 ,
101340,6134969631011,8/9/24 15:43, £	59.00 ,
110632,ITFC-000140157,2/18/23 9:24, £	6.00 ,
110632,ITFC-000139365,2/1/23 12:11, £	7.00 ,
110632,ITFC-000139339,1/31/23 22:40, £	7.00 ,
111607,11670083305852,3/15/25 14:18, £	15.00 ,
111607,6009151586595,7/6/24 10:17, £	15.00 ,
111607,9776042869116,11/13/24 17:19, £	24.00 ,
111607,6009144738083,7/6/24 10:15, £	64.00 ,
111607,5871797436707,6/4/24 14:51, £	78.00 ,
111607,9715021971836,10/11/24 10:31, £	79.00 ,
113013,9705444245884,10/6/24 14:42, £	114.00 ,
117863,9766541689212,11/9/24 14:28, £	28.00 ,
117863,ITFC-000107397,8/11/22 19:39, £	54.00 ,
117863,ITFC-000107160,8/8/22 14:52, £	54.00 ,
117863,6010884587811,7/7/24 16:55, £	172.00 ,
118942,ITFC-000147598,5/16/23 21:25, £	5.00 ,
118942,11703437427068,3/29/25 12:06, £	10.00 ,
118942,11677719855484,3/18/25 13:37, £	10.00 ,
118942,ITFC-000043707,9/27/20 19:18, £	10.00 ,
118942,ITFC-000018072,7/11/19 17:18, £	14.00 ,
118942,ITFC-000084501,11/30/21 19:43, £	20.00 ,
118942,ITFC-000089542,1/7/22 19:23, £	39.00 ,
118942,ITFC-000098572,6/16/22 11:12, £	43.00 ,
118942,ITFC-000097997,6/16/22 9:11, £	43.00 ,
118942,ITFC-000039809,7/26/20 15:36, £	44.00 ,
118942,ITFC-000111181,8/23/22 22:18, £	45.00 ,
118942,ITFC-000100120,6/16/22 19:23, £	49.00 ,
119206,6097292296483,7/27/24 16:23, £	28.00 ,
119206,5649326178595,12/13/23 16:10, £	50.00 ,
119206,6151177797923,8/21/24 16:10, £	61.00 ,
119206,ITFC-000107237,8/9/22 15:21, £	89.00 ,
119206,ITFC-000110372,8/24/22 8:50, £	98.00 ,
119206,ITFC-000112525,8/24/22 11:17, £	108.00 ,
119206,ITFC-000110372,8/23/22 19:51, £	108.00 ,
123562,ITFC-000132675,12/7/22 21:08, £	1.00 ,
123562,ITFC-000096947,5/21/22 7:45, £	15.00 ,
123562,ITFC-000096946,5/21/22 7:44, £	15.00 ,
125264,6012034580771,7/8/24 16:01, £	64.00 ,
125845,ITFC-000122839,10/21/22 21:21, £	54.00 ,
126232,ITFC-000147568,5/16/23 18:53, £	10.00 ,
126232,5997648412963,6/29/24 17:43, £	12.00 ,
126232,ITFC-000073698,8/15/21 18:14, £	52.00 ,
126232,12015097479548,7/6/25 20:58, £	59.00 ,
126232,6083607658787,7/21/24 13:27, £	59.00 ,
127480,11601252581756,2/16/25 23:06, £	12.00 ,
130563,11767823761788,4/25/25 21:37, £	17.00 ,
130563,ITFC-000084362,11/29/21 23:12, £	32.00 ,
130563,5710185496867,1/20/24 8:43, £	55.00 ,
130563,11311756149116,12/1/24 8:55, £	59.00 ,
130563,6009144246563,7/6/24 10:15, £	192.00 ,
131245,ITFC-000089561,1/7/22 20:11, £	4.00 ,
131245,ITFC-000146878,5/9/23 18:44, £	20.00 ,
